Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.),Geocoded Departure Station,Geocoded Return Station
2024-09-01 16:10:51,2024-09-01 16:11:16,036 Occitanie,036 Occitanie,0.0,20,43.46674525,43.46674525
2024-09-01 16:08:01,2024-09-01 16:08:41,036 Occitanie,036 Occitanie,0.0,35,43.46674525,43.46674525
2024-09-01 16:06:57,2024-09-01 16:18:49,012 Boutonnet,026 Renouvier,2623.0,707,44.9782454,42.62099
2024-09-01 16:03:50,2024-09-01 16:24:07,012 Boutonnet,002 Comédie,2617.0,1212,44.9782454,43.60918635
2024-09-01 16:03:14,2024-09-01 17:48:58,015 Les Aubes,015 Les Aubes,6068.0,6340,44.9765974,44.9765974
2024-09-01 15:55:10,2024-09-01 18:06:57,021 Port Marianne,021 Port Marianne,19158.0,7904,43.6059165,43.6059165
2024-09-01 15:55:08,2024-09-01 17:06:30,029 Richter,029 Richter,8008.0,4277,43.12495056853164,43.12495056853164
2024-09-01 15:51:41,2024-09-01 17:20:40,029 Richter,023 Les Arceaux,12274.0,5335,43.12495056853164,44.4849308
2024-09-01 15:50:25,2024-09-01 17:20:33,029 Richter,023 Les Arceaux,11461.0,5404,43.12495056853164,44.4849308
2024-09-01 15:48:27,2024-09-01 15:50:17,034 Vert Bois,034 Vert Bois,28.0,105,45.561860922767686,45.561860922767686
2024-09-01 15:48:10,2024-09-01 15:48:57,029 Richter,029 Richter,0.0,42,43.12495056853164,43.12495056853164
2024-09-01 15:46:34,2024-09-01 15:47:53,034 Vert Bois,034 Vert Bois,0.0,74,45.561860922767686,45.561860922767686
2024-09-01 15:38:49,2024-09-01 15:50:04,046 Père Soulas,057 Saint-Guilhem,2227.0,670,43.629507950000004,43.8573737
2024-09-01 15:30:07,2024-09-01 15:50:33,044 Celleneuve,025 Nouveau Saint-Roch,4427.0,1222,43.6137045,43.1205741
2024-09-01 15:28:33,2024-09-01 15:28:55,044 Celleneuve,044 Celleneuve,0.0,17,43.6137045,43.6137045
2024-09-01 15:17:49,2024-09-01 16:01:07,010 Rondelet,035 Malbosc,8484.0,2594,48.532387,44.3462912
2024-09-01 15:16:44,2024-09-01 15:17:03,010 Rondelet,010 Rondelet,0.0,15,48.532387,48.532387
2024-09-01 15:16:02,2024-09-01 15:16:21,010 Rondelet,010 Rondelet,0.0,14,48.532387,48.532387
2024-09-01 14:56:53,2024-09-01 15:07:25,015 Les Aubes,005 Corum,1359.0,628,44.9765974,34.99256242424242
2024-09-01 14:56:19,2024-09-01 15:06:31,015 Les Aubes,005 Corum,1259.0,608,44.9765974,34.99256242424242
2024-09-01 14:55:31,2024-09-01 14:55:53,015 Les Aubes,015 Les Aubes,0.0,17,44.9765974,44.9765974
2024-09-01 14:54:26,2024-09-01 14:54:48,015 Les Aubes,015 Les Aubes,0.0,17,44.9765974,44.9765974
2024-09-01 14:46:06,2024-09-01 15:52:27,021 Port Marianne,021 Port Marianne,9385.0,3977,43.6059165,43.6059165
