Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.)
2024-09-01 19:05:16,2024-09-01 19:29:33,vélostation Prés d'Arènes,vélostation Saint-Guilhem,3504.0,1452
2024-09-01 19:02:46,2024-09-01 20:27:28,vélostation Hôtel de Ville,vélostation Hôtel de Ville,11043.0,5077
2024-09-01 19:02:18,2024-09-02 00:46:45,vélostation Antigone centre,vélostation Antigone centre,2223.0,20659
2024-09-01 18:59:50,2024-09-01 19:06:48,vélostation Parvis Jules Ferry - Gare Saint-Roch,vélostation Plan Cabanes,1245.0,414
2024-09-01 18:58:46,2024-09-01 20:26:55,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,5866.0,5285
2024-09-01 18:57:51,2024-09-01 19:32:37,vélostation Port Marianne,vélostation Port Marianne,6336.0,2082
2024-09-01 18:57:46,2024-09-01 20:26:55,vélostation Hôtel de Ville,vélostation Hôtel de Ville,11267.0,5344
2024-09-01 18:57:36,2024-09-01 18:58:08,vélostation Hôtel de Ville,vélostation Hôtel de Ville,0.0,28
2024-09-01 18:56:42,2024-09-01 18:57:03,vélostation Hôtel de Ville,vélostation Hôtel de Ville,0.0,17
2024-09-01 18:56:12,2024-09-01 20:26:25,vélostation Hôtel de Ville,vélostation Hôtel de Ville,11253.0,5408
2024-09-01 18:55:48,2024-09-01 19:01:39,vélostation Plan Cabanes,vélostation Halles Castellane,931.0,346
2024-09-01 18:55:27,2024-09-01 19:14:10,vélostation Saint-Denis,vélostation Emile Combes,2133.0,1119
2024-09-01 18:55:18,2024-09-01 19:10:24,vélostation Garcia Lorca,vélostation Voltaire,1686.0,901
2024-09-01 18:55:04,2024-09-01 19:10:32,vélostation Garcia Lorca,vélostation Voltaire,1703.0,925
2024-09-01 18:54:37,2024-09-01 18:57:53,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,0.0,192
2024-09-01 18:54:30,2024-09-01 20:27:06,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,5903.0,5551
2024-09-01 18:54:08,2024-09-01 20:26:58,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,5805.0,5565
2024-09-01 18:53:58,2024-09-01 20:27:00,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,6293.0,5577
2024-09-01 18:53:49,2024-09-01 19:06:00,vélostation Père Soulas,vélostation Louis Blanc,2583.0,727
2024-09-01 18:53:37,2024-09-01 20:04:12,vélostation Père Soulas,vélostation Père Soulas,9666.0,4231
2024-09-01 18:52:12,2024-09-01 19:07:25,vélostation Comédie,vélostation Boutonnet,2570.0,908
2024-09-01 18:51:54,2024-09-01 19:19:35,vélostation Comédie,vélostation Tonnelles,3585.0,1658
2024-09-01 18:51:03,2024-09-01 19:06:28,vélostation Port Marianne,vélostation Médiathèque Emile Zola,1631.0,922
2024-09-01 18:50:29,2024-09-01 19:06:21,vélostation Port Marianne,vélostation Médiathèque Emile Zola,1631.0,949
2024-09-01 18:48:53,2024-09-01 18:50:27,vélostation Port Marianne,vélostation Port Marianne,0.0,89
2024-09-01 18:46:52,2024-09-01 18:47:18,vélostation Port Marianne,vélostation Port Marianne,0.0,23
2024-09-01 18:46:32,2024-09-01 18:57:32,vélostation Antigone centre,vélostation Port Marianne,1778.0,655
2024-09-01 18:45:52,2024-09-01 19:08:28,vélostation Place Viala,vélostation Place Viala,4257.0,1352
2024-09-01 18:45:42,2024-09-01 18:46:06,vélostation Antigone centre,vélostation Antigone centre,0.0,20
2024-09-01 18:45:25,2024-09-02 08:00:29,vélostation Saint-Guilhem,vélostation Père Soulas,2380.0,47696
2024-09-01 18:41:59,2024-09-01 18:44:53,vélostation Nombre d'Or,vélostation Antigone centre,314.0,168
2024-09-01 18:41:40,2024-09-01 21:02:34,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,14373.0,8450
2024-09-01 18:41:18,2024-09-01 21:02:26,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,14559.0,8464
2024-09-01 18:41:08,2024-09-01 19:10:08,vélostation Saint-Guilhem,vélostation Nombre d'Or,2544.0,1736
2024-09-01 18:39:35,2024-09-01 22:11:38,vélostation Nombre d'Or,vélostation Nombre d'Or,6.0,12719
2024-09-01 18:37:37,2024-09-01 20:59:48,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,6375.0,8527
2024-09-01 18:36:19,2024-09-02 03:41:00,vélostation Fac de Lettres,vélostation Malbosc,4249.0,32672
2024-09-01 18:30:18,2024-09-01 19:36:34,vélostation Richter,vélostation Richter,8707.0,3972
2024-09-01 18:29:40,2024-09-01 21:34:52,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,6377.0,11108
2024-09-01 18:28:55,2024-09-01 18:40:43,vélostation Louis Blanc,vélostation Jean de Beins,1703.0,705
2024-09-01 18:28:23,2024-09-01 19:36:40,vélostation Richter,vélostation Richter,8819.0,4093
2024-09-01 18:28:00,2024-09-03 09:24:56,vélostation Hôtel de Ville,vélostation Prés d'Arènes,2850.0,140209
2024-09-01 18:27:29,2024-09-01 18:45:09,vélostation Hôtel de Ville,vélostation Prés d'Arènes,2860.0,1056
2024-09-01 18:27:27,2024-09-01 18:40:23,vélostation Rondelet,vélostation Saint-Guilhem,1225.0,771
2024-09-01 18:26:02,2024-09-01 18:54:10,vélostation Malbosc,vélostation Place Albert 1er - St Charles,5693.0,1683
2024-09-01 18:25:21,2024-09-01 21:17:41,vélostation Rondelet,vélostation Rondelet,13101.0,10337
2024-09-01 18:20:36,2024-09-01 18:29:50,vélostation Prés d'Arènes,vélostation Hôtel de Ville,1864.0,549
2024-09-01 18:19:32,2024-09-01 18:28:48,vélostation Les Arceaux,vélostation Père Soulas,2419.0,551
2024-09-01 18:16:56,2024-09-01 18:31:05,vélostation Les Aubes,vélostation Rue Jules Ferry - Gare Saint-Roch,2901.0,845
2024-09-01 18:16:18,2024-09-01 19:26:06,vélostation Port Marianne,vélostation Antigone centre,13393.0,4183
2024-09-01 18:07:50,2024-09-01 18:15:47,vélostation Jardin de la Lironde,vélostation Port Marianne,1433.0,472
2024-09-01 18:04:17,2024-09-01 18:10:17,vélostation Foch,vélostation Rue Jules Ferry - Gare Saint-Roch,1029.0,356
2024-09-01 18:03:21,2024-09-01 18:11:16,vélostation Jeu de Mail des Abbés,vélostation Comédie,1715.0,470
2024-09-01 18:02:05,2024-09-01 18:14:51,vélostation Tonnelles,vélostation Observatoire,3749.0,761
2024-09-01 18:00:04,2024-09-01 18:05:49,vélostation Plan Cabanes,vélostation Parvis Jules Ferry - Gare Saint-Roch,1165.0,341
2024-09-01 17:58:52,2024-09-01 17:59:18,vélostation Plan Cabanes,vélostation Plan Cabanes,0.0,22
2024-09-01 17:57:39,2024-09-01 17:58:01,vélostation Plan Cabanes,vélostation Plan Cabanes,0.0,17
